SED_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SED30001,34332,35551,69881,2888,2834,5723,5869,5723,11588,2475,2528,5001,2164,2165,4324,4810,5305,10116,5301,5622,10920,4501,4684,9186,3146,3425,6570,2220,2165,4381,782,795,1577,187,311,499,32866,34392,67255,1466,1157,2629,641,730,1369,36,30,62,22,22,42,695,775,1469,23339,23991,47333,8896,9351,18249,29776,30567,60347,2619,2965,5581,27223,28220,55445,578,576,1153,5375,5247,10623,1639,1784,3420,417,554,975,585,1503,2083,12221,14020,26239,2648,2651,5301,6656,6383,13038,1474,1333,2799,763,687,1449,74,72,145,32114,33440,65546,1654,1787,3444
SED30002,26679,27634,54310,2089,2021,4113,4085,3842,7934,2001,1878,3882,1839,1728,3564,3933,4200,8136,3852,4067,7922,3514,3982,7494,2719,2884,5598,1697,1745,3443,684,832,1516,256,455,715,25626,26781,52410,1048,849,1901,450,442,890,43,31,69,43,37,83,534,512,1042,16096,16546,32643,9388,9932,19324,18365,18773,37139,7145,7756,14898,21293,22026,43311,357,304,667,3765,3565,7331,1405,1408,2807,545,626,1167,658,1215,1877,11796,12736,24535,1685,1586,3269,4161,4320,8484,851,888,1736,647,816,1460,171,213,388,25212,26177,51394,1051,1206,2254
SED30003,23111,23450,46556,1504,1426,2929,3582,3199,6775,1703,1502,3199,1996,1680,3677,2946,2890,5842,3268,3701,6968,3358,3491,6847,2280,2445,4726,1520,1739,3253,708,913,1617,254,471,719,21798,22419,44214,1317,1029,2348,245,201,446,23,8,31,16,9,27,285,225,509,17605,17824,35427,4509,4602,9116,20374,20339,40712,1770,2131,3906,20413,20666,41078,331,311,643,3415,3060,6469,1335,1255,2590,700,816,1516,811,1125,1938,13139,13415,26554,1096,934,2029,2110,2590,4695,424,418,840,277,453,733,45,36,81,21050,22096,43147,1526,958,2481
SED30004,21419,23070,44487,1299,1236,2531,2791,2737,5526,1433,1421,2852,1382,1373,2757,2619,2677,5293,2868,3015,5888,2969,3212,6176,2530,2812,5342,1968,2229,4196,1132,1507,2646,434,852,1288,20516,22320,42834,903,751,1656,269,281,547,12,10,16,17,24,42,290,309,602,14983,16196,31180,5546,5922,11469,17099,18297,35398,3463,3915,7376,18548,20039,38585,234,227,462,2639,2606,5243,1140,1218,2355,511,556,1060,571,923,1498,10939,11256,22200,1148,1170,2321,3084,3974,7056,532,621,1150,611,904,1509,64,83,146,20334,21944,42282,721,916,1632
SED30005,29957,31001,60957,1928,1757,3688,4505,4304,8810,1959,1801,3754,1447,1485,2939,3341,3711,7053,4217,4902,9119,4643,5210,9852,4030,4080,8113,2710,2490,5197,953,905,1856,224,354,579,27957,29539,57494,2003,1465,3463,934,930,1865,268,266,533,194,192,388,1402,1389,2794,21017,21158,42176,6438,7443,13886,25020,25413,50429,2620,3374,5996,24972,25481,50456,327,303,635,4124,3951,8068,1333,1287,2622,367,497,861,775,1643,2420,12092,14146,26245,2424,2242,4668,5128,4839,9967,1025,902,1926,583,588,1170,52,57,108,26918,28458,55376,3907,4214,8121
SED30006,28739,29335,58081,1781,1742,3516,4320,4198,8523,1944,1841,3785,1502,1480,2980,2931,3122,6055,3618,3880,7495,4177,4424,8603,3739,3848,7581,3058,2947,6001,1301,1346,2641,387,512,893,27329,28182,55514,1408,1159,2565,810,826,1631,41,42,79,44,44,91,894,907,1803,22039,22352,44390,4250,4533,8787,25475,26145,51624,954,1141,2093,24632,25366,49998,297,302,598,3873,3801,7674,1217,1265,2481,201,330,535,436,959,1396,8816,10681,19499,2032,1900,3936,6375,6111,12486,1579,1210,2787,1384,1241,2623,67,58,127,26059,26975,53036,2865,2548,5411
SED30007,32025,30487,62513,1074,1076,2146,1483,1438,2917,1316,1563,2883,4154,4580,8737,10058,9383,19435,5066,4186,9254,3619,2974,6595,2720,2463,5186,1640,1530,3170,666,735,1403,227,553,781,30138,28826,58960,1887,1660,3548,299,252,551,29,16,49,18,23,39,351,293,644,16275,15359,31634,11891,11717,23608,19957,18431,38391,8283,8699,16981,20096,18954,39046,169,161,326,1324,1305,2627,1017,1223,2241,2089,2423,4516,2892,3166,6062,21283,20593,41877,1260,1051,2312,2120,2030,4151,455,332,785,425,476,902,130,111,248,26261,25637,51899,9083,8045,17124
SED30008,24434,27169,51599,1234,1206,2442,2388,2177,4570,1213,1208,2421,1495,1652,3144,2931,3090,6023,3054,3279,6333,3223,3618,6836,3096,3880,6974,3301,3832,7135,1847,2159,4007,642,1078,1719,23188,25978,49163,1243,1188,2437,348,392,745,30,11,47,17,19,35,400,422,822,14962,16271,31231,7348,8565,15920,19450,21388,40841,3025,3622,6647,18923,21020,39944,233,224,456,2134,1967,4103,791,867,1655,484,618,1105,638,1046,1685,9929,11147,21079,1804,1864,3670,4852,5747,10600,1120,1261,2380,824,1059,1887,84,117,200,21844,24443,46286,2600,2921,5517
SED30009,23704,26250,49957,1401,1377,2777,3431,3456,6883,1647,1669,3319,1335,1381,2721,2461,2636,5094,2898,3420,6321,3389,3881,7271,2890,3305,6201,2441,2769,5212,1310,1560,2861,505,789,1299,22238,25083,47314,1467,1164,2635,305,328,629,21,20,41,13,15,24,333,362,695,17174,19067,36240,5200,5849,11054,21337,23503,44844,1161,1567,2730,20257,22625,42882,281,276,557,3219,3244,6460,1155,1287,2444,405,526,937,572,1231,1803,10043,11568,21615,1761,1857,3622,4195,4893,9087,901,922,1820,550,615,1160,36,35,73,21945,24596,46537,1238,1464,2702
SED30010,25467,26878,52351,1814,1790,3601,3262,3098,6364,1327,1390,2715,1819,1928,3754,4752,5112,9866,4334,4439,8766,3517,3652,7172,2392,2566,4955,1331,1458,2785,665,845,1507,258,604,860,24004,25596,49603,1467,1283,2753,301,321,613,30,31,66,20,16,34,349,368,714,17906,19103,37009,5942,6157,12095,20952,22059,43012,2928,3272,6206,21010,22369,43383,330,329,659,3035,2915,5945,1078,1110,2193,693,795,1486,932,1462,2398,14006,15114,29125,1239,1147,2387,2610,2876,5486,490,471,958,453,679,1133,40,66,111,23298,24647,47943,1379,1637,3017
