SED_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SED30001,33,1987,726,410,1806,0.8,1724,3
SED30002,34,1800,706,370,1801,0.8,1672,3
SED30003,36,2167,921,400,2502,0.8,2103,2.7
SED30004,40,2000,767,395,2115,0.8,1827,2.7
SED30005,39,1733,750,335,1802,0.8,1515,2.5
SED30006,41,1760,616,320,1544,0.8,1373,2.7
SED30007,32,2100,898,430,2322,1,1756,2
SED30008,46,1733,605,355,1417,0.8,1124,2.2
SED30009,42,1950,665,410,1701,0.8,1449,2.6
SED30010,34,2200,992,429,2541,0.8,2125,2.5
SED30011,42,1300,492,255,1168,0.8,923,2.3
SED30012,30,1700,700,340,1615,0.8,1514,3
SED30013,39,1517,666,250,1547,0.8,1252,2.4
SED30014,39,1900,692,390,1695,0.8,1373,2.4
SED30015,47,1491,493,280,1218,0.8,1046,2.4
SED30016,37,1517,644,266,1419,0.9,1141,2.3
SED30017,43,1200,501,175,1259,0.8,1022,2.4
SED30018,44,1800,589,350,1426,0.8,1207,2.4
SED30019,38,1863,711,370,1795,0.8,1561,2.7
SED30020,37,2167,847,425,2272,0.8,2025,2.8
SED30021,36,2167,947,360,2409,0.9,1808,2.3
SED30022,44,2000,706,400,1914,0.8,1570,2.6
SED30023,37,1564,658,255,1626,0.8,1406,2.7
SED30024,35,1517,555,150,1302,1,1160,2.7
SED30025,35,1950,675,395,1636,0.8,1472,2.8
SED30026,43,1920,639,367,1609,0.8,1307,2.4
SED30027,40,1387,576,200,1427,0.8,1153,2.5
SED30028,37,2000,822,385,2173,0.8,1881,2.7
SED30029,39,2000,796,380,2192,0.8,2007,2.9
SED30030,36,1907,666,395,1665,0.8,1502,2.8
SED30031,34,2000,721,250,2023,0.8,1703,2.6
SED30032,42,1733,582,320,1459,0.8,1315,2.7
SED30033,35,2167,881,370,2316,0.9,1869,2.5
SED30034,34,1647,764,150,1924,0.8,1564,2.6
SED30035,46,1300,489,255,1163,0.8,967,2.4
SED30036,48,1473,475,290,1093,0.7,911,2.3
SED30037,39,1700,657,275,1535,0.8,1307,2.5
SED30038,33,1600,535,310,1377,0.9,1287,2.9
SED30039,29,2167,648,420,2424,0.9,1817,2.6
SED30040,35,1500,629,280,1502,0.8,1278,2.6
SED30041,36,1550,616,289,1484,0.8,1299,2.7
SED30042,35,1733,701,345,1651,0.8,1467,2.7
SED30043,40,1950,605,415,1521,0.8,1302,2.6
SED30044,39,1733,654,300,1657,0.8,1365,2.6
SED30045,38,1733,592,285,1542,0.8,1370,2.8
SED30046,36,1785,653,365,1652,0.8,1590,3.1
SED30047,40,2000,743,390,1950,0.8,1562,2.6
SED30048,39,1733,659,250,1596,0.8,1244,2.4
SED30049,36,2000,676,400,1957,0.8,1688,2.8
SED30050,44,1733,656,350,1468,0.8,1217,2.2
SED30051,48,1300,458,240,1080,0.8,899,2.4
SED30052,39,1950,687,420,1723,0.8,1449,2.5
SED30053,38,1820,693,200,1799,0.8,1542,2.6
SED30054,40,2167,851,440,2446,0.8,2244,3
SED30055,34,1733,623,330,1560,0.8,1435,2.9
SED30056,31,2300,923,420,2611,0.9,1976,2.4
SED30057,32,1733,810,180,2021,0.9,1739,2.6
SED30058,38,2000,798,400,2177,0.8,1944,2.8
SED30059,40,1980,685,420,1743,0.8,1560,2.8
SED30060,35,1560,618,270,1449,0.8,1290,2.8
SED30061,35,1603,607,300,1660,0.8,1385,2.6
SED30062,34,1889,676,360,1653,0.8,1476,2.8
SED30063,44,1300,495,230,1221,0.8,1006,2.5
SED30064,42,1700,580,330,1415,0.8,1203,2.6
SED30065,47,1800,617,400,1468,0.8,1258,2.5
SED30066,35,1950,770,365,1892,0.8,1582,2.5
SED30067,35,1820,721,350,1825,0.8,1639,2.8
SED30068,48,1560,493,300,1179,0.8,961,2.3
SED30069,46,1690,604,310,1468,0.8,1129,2.3
SED30070,42,2000,640,395,1754,0.8,1457,2.7
SED30071,35,1517,604,270,1485,0.8,1199,2.4
SED30072,39,1800,713,365,1857,0.8,1532,2.6
SED30073,32,2000,806,400,2169,1,1674,2.2
SED30074,44,1300,536,220,1260,0.8,1029,2.4
SED30075,37,1733,563,365,1422,0.9,1177,2.4
SED30076,37,1842,752,370,1920,0.8,1745,2.8
SED30077,35,2100,855,360,2174,0.8,1703,2.4
SED30078,33,1872,603,400,1658,0.8,1631,3.1
SED30079,33,1733,505,370,1420,0.9,1332,2.9
SED30080,41,1907,679,380,1627,0.9,1303,2.2
SED30081,33,1733,684,300,1631,0.8,1467,2.8
SED30082,39,1517,651,275,1538,0.8,1220,2.4
SED30083,38,1517,653,295,1546,0.7,1232,2.4
SED30084,37,1727,712,265,1691,0.8,1273,2.2
SED30085,39,1260,647,180,1480,0.8,1198,2.4
SED30086,33,1603,606,330,1419,0.8,1269,2.7
SED30087,36,2000,743,300,1817,0.8,1523,2.6
SED30088,30,1517,524,310,1268,0.9,1176,3
SED30089,34,2000,774,360,2157,0.9,1708,2.5
SED39494,45,0,407,0,0,0,0,0
SED39797,56,0,606,0,0,0,0,0
