SED_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SED30001,365,5221,9694,3679,2110,21065,526,21590
SED30002,541,5090,7323,2663,1281,16898,423,17325
SED30003,911,5545,6618,1874,806,15747,349,16100
SED30004,817,4853,6489,2149,1070,15381,385,15766
SED30005,719,7462,9370,2686,1088,21317,625,21938
SED30006,439,5087,7635,3334,2314,18812,642,19450
SED30007,5598,12331,5437,1046,401,24815,861,25674
SED30008,1407,9230,7209,1787,792,20425,792,21216
SED30009,690,5700,7383,2465,1195,17445,489,17935
SED30010,1065,7275,7549,1963,787,18637,463,19102
SED30011,1610,6989,5402,1525,654,16174,810,16988
SED30012,1018,8090,10130,3100,1372,23706,739,24446
SED30013,784,5356,6586,2331,1158,16212,756,16967
SED30014,1050,7176,7613,2159,916,18913,688,19598
SED30015,489,6073,7100,2442,1274,17380,667,18044
SED30016,2697,9281,6579,1730,762,21046,1219,22270
SED30017,809,5032,5797,2560,1648,15849,817,16665
SED30018,1008,7042,7181,2270,1137,18632,605,19238
SED30019,641,4848,6730,2553,1483,16252,444,16699
SED30020,772,5355,7472,2387,1295,17280,333,17616
SED30021,1901,8762,7028,1782,763,20240,574,20813
SED30022,915,5801,7081,2580,1360,17731,544,18274
SED30023,553,4762,7464,3275,2233,18288,624,18910
SED30024,2410,5326,4849,1665,847,15102,943,16041
SED30025,859,7901,10209,3382,1619,23971,738,24707
SED30026,974,6363,6708,2176,1227,17449,630,18080
SED30027,769,5651,6212,2278,1244,16152,736,16885
SED30028,764,4936,6846,2212,1214,15977,327,16307
SED30029,438,4066,6676,2364,1403,14957,298,15252
SED30030,649,5497,8081,3002,1698,18920,601,19524
SED30031,795,5709,7928,2797,1292,18526,543,19067
SED30032,351,4982,7384,3120,2181,18015,545,18560
SED30033,1399,6715,6595,1724,786,17214,442,17659
SED30034,635,4171,5037,2042,1336,13220,600,13817
SED30035,894,6454,6730,2459,1352,17894,694,18589
SED30036,1364,8912,6737,1973,823,19810,864,20673
SED30037,566,5717,8101,2678,1213,18272,754,19031
SED30038,1218,5834,6200,2283,1130,16656,733,17391
SED30039,1916,6988,5735,1611,662,16908,398,17304
SED30040,1420,6500,6587,2265,1072,17854,667,18527
SED30041,934,5625,6712,2810,1839,17921,594,18519
SED30042,715,5915,7385,2490,1344,17849,451,18304
SED30043,827,7109,7445,2361,1023,18754,549,19305
SED30044,811,6065,7506,2644,1345,18372,779,19148
SED30045,505,4069,6865,3255,2407,17099,758,17857
SED30046,346,3562,5924,2823,2283,14946,409,15354
SED30047,1130,6230,6912,2228,976,17481,692,18169
SED30048,1444,6143,5621,1835,712,15755,628,16379
SED30049,968,5137,6159,2043,1068,15375,373,15742
SED30050,1175,8776,7688,2036,809,20487,752,21236
SED30051,1105,6889,6729,2429,1237,18384,841,19222
SED30052,968,6957,7874,2326,1028,19147,617,19771
SED30053,481,4488,7087,2991,1758,16810,834,17637
SED30054,341,3905,7042,2528,1361,15169,307,15475
SED30055,752,5089,7055,2799,1801,17487,484,17965
SED30056,1773,7202,5753,1513,661,16904,477,17377
SED30057,972,3371,3525,1271,761,9900,625,10520
SED30058,567,4967,6982,2136,889,15547,250,15799
SED30059,470,5512,7874,2847,1618,18323,650,18970
SED30060,1049,5710,6602,2134,1039,16538,679,17217
SED30061,1056,5396,5920,1960,877,15205,460,15665
SED30062,964,8265,9863,3063,1556,23706,679,24387
SED30063,724,6071,6675,2643,1681,17788,784,18575
SED30064,797,5833,7188,2543,1518,17878,574,18449
SED30065,738,6787,7951,2398,1099,18977,647,19617
SED30066,1802,8368,7335,1926,840,20271,682,20949
SED30067,678,5098,7387,2843,1597,17605,385,17991
SED30068,1600,8744,6901,2144,1123,20521,883,21408
SED30069,1862,8070,6461,2003,1014,19403,753,20158
SED30070,852,5420,7019,2744,1619,17655,513,18167
SED30071,1512,6623,6113,1996,887,17138,729,17867
SED30072,1210,6827,6892,2078,922,17937,530,18469
SED30073,3468,10428,5671,1332,554,21445,772,22219
SED30074,982,5912,6594,2562,1537,17590,755,18345
SED30075,1959,8883,7107,2127,985,21051,1093,22145
SED30076,475,4674,7127,2665,1497,16437,337,16772
SED30077,1595,7248,6592,1720,679,17835,567,18403
SED30078,565,5239,7959,2579,1192,17536,487,18025
SED30079,1253,6322,6161,2154,1006,16899,824,17724
SED30080,1912,9636,7410,1898,835,21691,846,22537
SED30081,643,5243,7361,2463,1206,16915,536,17452
SED30082,1385,7098,6808,2147,1019,18447,626,19077
SED30083,1473,7705,6855,1906,797,18743,705,19447
SED30084,1931,7903,6486,1678,700,18691,699,19385
SED30085,701,4308,4921,2193,1531,13646,682,14329
SED30086,1525,7378,7675,2732,1328,20641,838,21480
SED30087,710,5925,8231,2819,1269,18948,838,19785
SED30088,1603,6767,6491,2322,1122,18291,874,19172
SED30089,1592,7269,6744,1837,850,18297,546,18841
SED39494,0,0,0,0,0,0,0,0
SED39797,0,0,0,0,0,0,0,0
