SED_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED30001,25577,26992,52573,13816,7874,21685,3143,7446,10592,775,909,1687,1208,1249,2462,18948,17475,36423,5107,7935,13042,6.4,7.1,6.8,74.1,64.7,69.3,69.3,60.1,64.6,492,602,1091,211,457,668,1886,3111,4995,2002,3390,5384,7920,4156,12078,242,433,679,457,719,1180,8627,5306,13932,24898,25685,50582,6337,6699,13036,13765,14044,27806,15697,16617,32316
SED30002,20499,21764,42267,10732,6562,17289,2507,5318,7827,539,733,1268,1120,1036,2160,14895,13652,28547,4732,7261,11991,7.5,7.6,7.6,72.7,62.7,67.5,67.2,58,62.4,1013,935,1955,203,397,600,2438,3363,5802,1698,2330,4025,4884,2493,7379,175,323,494,292,521,809,5348,3339,8684,20722,21463,42185,3951,4197,8153,12874,13279,26157,10483,11122,21604
SED30003,18029,18827,36848,9696,5836,15540,2485,5542,8026,461,606,1060,759,593,1355,13398,12586,25978,3833,5416,9253,5.7,4.7,5.2,74.3,66.9,70.5,70.1,63.7,66.8,1718,1584,3299,581,957,1539,4370,5195,9563,1662,1963,3622,2764,1333,4097,145,162,306,198,301,504,3110,1801,4904,17623,18147,35765,3741,3578,7316,11202,11991,23187,9414,9031,18443
SED30004,17336,19098,36427,8518,5295,13812,2214,4807,7027,431,618,1049,770,593,1362,11932,11317,23249,4669,7023,11692,6.5,5.2,5.9,68.8,59.3,63.8,64.4,56.1,60.1,1052,949,1996,370,539,910,2975,3699,6678,1711,1988,3700,3692,1739,5436,131,215,350,264,399,664,4092,2356,6442,16958,18424,35380,2957,3174,6130,11572,12596,24170,7663,8342,16009
SED30005,23525,24938,48463,10886,7789,18678,3175,6586,9760,776,816,1591,1153,892,2039,15985,16082,32066,5585,6980,12571,7.2,5.5,6.4,67.9,64.5,66.2,63.1,60.9,62,801,1020,1821,366,727,1090,2616,4376,6990,2200,3069,5270,6747,2992,9740,233,323,551,401,597,999,7381,3913,11297,21408,21974,43380,5228,5774,11001,13003,13128,26133,12604,13810,26415
SED30006,22639,23397,46037,10239,5569,15805,2469,5846,8309,748,766,1510,836,781,1620,14284,12960,27243,6560,8716,15272,5.9,6,5.9,63.1,55.4,59.2,59.4,52.1,55.7,395,448,848,199,414,612,1337,2524,3859,1458,2565,4023,6492,3136,9623,221,446,664,414,620,1039,7129,4198,11323,21238,21848,43084,4563,4857,9426,14086,14158,28241,10411,11255,21667
SED30007,29476,27967,57447,13615,9981,23598,4316,5829,10146,694,766,1462,1547,1346,2891,20168,17924,38094,5688,6857,12546,7.7,7.5,7.6,68.4,64.1,66.3,63.2,59.3,61.3,2978,2667,5645,717,1097,1814,7779,8184,15961,2361,2394,4756,3072,1603,4677,199,244,442,311,351,671,3587,2208,5793,17176,16011,33189,10180,10276,20458,7437,7046,14484,19644,18941,38583
SED30008,20804,23782,44588,7823,5296,13119,2692,5087,7778,474,570,1038,1000,907,1908,11994,11858,23850,7058,9943,16999,8.3,7.6,8,57.7,49.9,53.5,52.8,46.1,49.2,628,651,1274,188,338,529,1968,2928,4894,1682,2636,4311,5453,2548,7998,172,324,498,390,680,1075,6016,3555,9573,16911,18794,35710,4721,5335,10062,9437,10552,19990,11535,12971,24505
SED30009,18877,21415,40291,8299,4805,13104,2644,6204,8847,488,563,1053,851,845,1695,12284,12414,24698,5503,7927,13432,6.9,6.8,6.9,65.1,58,61.3,60.6,54,57.1,714,690,1403,329,589,919,2324,3561,5884,1813,2597,4410,5075,2643,7717,154,289,445,342,574,910,5565,3509,9073,17326,19224,36550,4352,4928,9278,10324,11267,21591,10640,12185,22831
SED30010,20396,21989,42388,11628,8088,19709,2558,5526,8083,466,737,1197,785,693,1482,15429,15042,30471,3581,5578,9154,5.1,4.6,4.9,75.6,68.4,71.9,71.8,65.3,68.4,1531,1581,3115,513,936,1444,4554,5780,10334,1859,2379,4239,3738,1744,5482,132,179,309,228,394,619,4096,2317,6412,17842,18837,36681,5144,5562,10706,10078,10681,20758,11950,12745,24694
SED30011,16988,18890,35880,5601,3404,9009,1887,3814,5701,411,427,841,1192,850,2036,9088,8503,17589,6526,8959,15488,13.1,10,11.6,53.5,45,49,46.5,40.5,43.3,186,167,355,115,203,314,874,1607,2479,741,1323,2067,4479,2347,6825,246,368,614,291,369,662,5017,3088,8108,15468,16809,32271,3383,3629,7011,10221,10927,21148,7767,8720,16488
SED30012,28394,29911,58314,14241,8627,22870,3298,6519,9819,898,998,1897,1866,1909,3780,20309,18055,38366,6081,9814,15899,9.2,10.6,9.9,71.5,60.4,65.8,64.9,54,59.3,690,754,1446,256,439,700,2282,3430,5713,2110,3172,5280,6995,4395,11386,398,553,954,510,710,1224,7898,5655,13556,27576,28114,55697,7744,8160,15906,14486,14362,28848,18176,19454,37626
SED30013,21008,18857,39861,9597,4961,14560,1782,4357,6142,687,646,1328,897,720,1614,12963,10684,23652,5794,6594,12393,6.9,6.7,6.8,61.7,56.7,59.3,57.4,52.8,55.3,257,286,545,137,256,388,1074,1940,3010,874,1356,2231,5584,2181,7762,201,320,518,262,358,614,6043,2855,8899,17953,16994,34946,3557,3315,6866,12283,11562,23847,8286,7883,16174
