ELECTORATE,Enrolment,Deviation from Quota,Projected enrolment,Projected deviation from Quota
ALGESTER,32281.00,-2.67,33870.00,-8.11
ASPLEY,35643.00,7.46,37531.00,1.82
BANCROFT,32116.00,-3.17,38269.00,3.82
BARRON RIVER,33523.00,1.07,37278.00,1.13
BONNEY,31459.00,-5.15,35933.00,-2.51
BROADWATER,32074.00,-3.30,35037.00,-4.95
BUDERIM,33009.00,-0.48,36850.00,-0.03
BULIMBA,35944.00,8.37,37499.00,1.73
BUNDABERG,33923.00,2.28,36219.00,-1.74
BUNDAMBA,30698.00,-7.45,38429.00,4.26
BURDEKIN,33796.00,1.89,37552.00,1.88
BURLEIGH,33512.00,1.04,37409.00,1.49
BURNETT,32562.00,-1.83,35988.00,-2.37
CAIRNS,34979.00,5.46,36974.00,0.31
CALLIDE,32803.00,-1.10,34850.00,-5.45
CALOUNDRA,31624.00,-4.65,40159.00,8.95
CAPALABA,34999.00,5.52,37015.00,0.42
CHATSWORTH,33826.00,1.98,35506.00,-3.67
CLAYFIELD,35616.00,7.38,39502.00,7.17
CONDAMINE,34755.00,4.79,39315.00,6.66
COOK,35392.00,6.71,37889.00,2.79
COOMERA,30722.00,-7.37,40367.00,9.51
COOPER,35860.00,8.12,36495.00,-0.99
CURRUMBIN,33081.00,-0.26,35722.00,-3.09
EVERTON,35785.00,7.89,37938.00,2.92
FERNY GROVE,34228.00,3.20,34858.00,-5.43
GAVEN,31573.00,-4.81,34646.00,-6.01
GLADSTONE,31542.00,-4.90,36762.00,-0.27
GLASS HOUSE,31706.00,-4.41,35788.00,-2.91
GREENSLOPES,34274.00,3.34,35570.00,-3.50
GREGORY,33600.00,1.30,35058.00,-4.89
GYMPIE,34983.00,5.47,38014.00,3.13
HERVEY BAY,35784.00,7.89,39725.00,7.77
HILL,35916.00,8.29,37249.00,1.06
HINCHINBROOK,31792.00,-4.15,36794.00,-0.18
INALA,32809.00,-1.08,37322.00,1.25
IPSWICH,30336.00,-8.54,47035.00,27.60
IPSWICH WEST,32139.00,-3.10,39774.00,7.91
JORDAN,30774.00,-7.22,42665.00,15.75
KAWANA,32890.00,-0.84,40225.00,9.13
KEPPEL,34345.00,3.55,38260.00,3.80
KURWONGBAH,33285.00,0.35,39791.00,7.95
LOCKYER,31885.00,-3.87,36428.00,-1.17
LOGAN,29974.00,-9.63,43299.00,17.47
LYTTON,34983.00,5.47,35867.00,-2.69
MACALISTER,33448.00,0.85,36734.00,-0.34
McCONNEL,31443.00,-5.20,39780.00,7.92
MACKAY,36154.00,9.00,38308.00,3.93
MAIWAR,35925.00,8.31,37786.00,2.51
MANSFIELD,32490.00,-2.04,34969.00,-5.13
MAROOCHYDORE,32436.00,-2.21,35590.00,-3.45
MARYBOROUGH,34975.00,5.45,38073.00,3.29
MERMAID BEACH,33074.00,-0.28,35482.00,-3.74
MILLER,33186.00,0.06,34238.00,-7.11
MIRANI,32128.00,-3.13,35024.00,-4.98
MOGGILL,34467.00,3.92,35276.00,-4.30
MORAYFIELD,32543.00,-1.88,38790.00,5.24
MOUNT OMMANEY,34285.00,3.37,35193.00,-4.52
MUDGEERABA,34219.00,3.17,37993.00,3.07
MULGRAVE,32323.00,-2.55,39989.00,8.49
MUNDINGBURRA,32802.00,-1.10,35834.00,-2.78
MURRUMBA,33077.00,-0.27,40017.00,8.57
NANANGO,35282.00,6.37,38237.00,3.74
NICKLIN,31265.00,-5.74,35145.00,-4.65
NINDERRY,32139.00,-3.10,35644.00,-3.30
NOOSA,34505.00,4.03,36218.00,-1.74
NUDGEE,35007.00,5.55,36237.00,-1.69
OODGEROO,31022.00,-6.47,33914.00,-7.99
PINE RIVERS,35530.00,7.12,37609.00,2.03
PUMICESTONE,32804.00,-1.10,36531.00,-0.89
REDCLIFFE,35259.00,6.31,37428.00,1.54
REDLANDS,32624.00,-1.64,36949.00,0.24
ROCKHAMPTON,35137.00,5.94,37700.00,2.28
SANDGATE,34867.00,5.12,36403.00,-1.24
SCENIC RIM,34555.00,4.18,39263.00,6.52
SOUTH BRISBANE,30582.00,-7.80,40099.00,8.79
SOUTHERN DOWNS,34656.00,4.49,36358.00,-1.36
SOUTHPORT,32204.00,-2.91,37004.00,0.39
SPRINGWOOD,34476.00,3.94,35637.00,-3.32
STAFFORD,35920.00,8.30,37475.00,1.67
STRETTON,33001.00,-0.50,34132.00,-7.40
SURFERS PARADISE,32392.00,-2.34,36856.00,-0.01
THEODORE,31114.00,-6.19,36630.00,-0.62
THURINGOWA,34151.00,2.96,35752.00,-3.01
TOOHEY,32905.00,-0.79,33850.00,-8.17
TOOWOOMBA NORTH,35508.00,7.06,37588.00,1.98
TOOWOOMBA SOUTH,36013.00,8.58,37205.00,0.94
TOWNSVILLE,33499.00,1.00,37269.00,1.11
TRAEGER,34584.00,4.27,35859.00,-2.72
WARREGO,35960.00,8.42,37151.00,0.79
WATERFORD,31838.00,-4.01,33713.00,-8.54
WHITSUNDAY,31435.00,-5.22,36479.00,-1.03
WOODRIDGE,35052.00,5.68,36295.00,-1.53
