"","Electorate","Tot_Population","Under_Age","Working_Age","Retired","Median_rent_weekly","Median_tot_fam_inc_weekly","Tot_P_Need_for_Asstn","Ave_Motor_Vehicle_per_Dwelling","Non_sch_quals_PostGrad_Dgre_P","Non_sch_quals_Gr_Dip_Gr_Crt_P","Non_sch_quals_Bchelr_Degree_P","Non_sch_quls_Advncd_Dip_Dip_P","Non_sch_quls_Cert3a4_Level_P","Non_sch_quls_Cert1a2_Level_P","Non_sch_quls_Certnfd_Level_P","Non_sch_quls_CertTot_Level_P","Full_time_Employ","Part_time_Employ","Employ_away_from_work","One_method_Train_P","One_method_Bus_P","One_met_Tram_incl_lt_rail_P","One_method_Taxi_P","One_method_Car_as_driver_P","One_method_Car_as_passenger_P","One_method_Truck_P","One_method_Bicycle_P","One_method_Other_P","One_method_Walked_only_P","One_method_Tot_one_method_P","Two_methods_Train_Bus_P","Two_mt_trn_Trm_incl_lt_rl_P","Two_methods_Trn_Car_as_drvr_P","Two_methods_Trn_Car_as_pass_P","Two_methods_Train_Other_P","Two_methods_Train_Tot_P","Two_mth_Bu_Trm_inc_lt_rl_P","Two_methods_Bus_Car_as_drvr_P","Two_methods_Bus_Car_as_pass_P","Two_methods_Bus_Other_P","Two_methods_Bus_Tot_P","Two_methds_Othr_two_methds_P","Two_methods_Tot_two_methods_P","Three_meth_Trn_two_othr_met_P","Three_met_Bs_2_ot_met_ex_tr_P","Three_meth_Othr_three_meth_P","Three_meth_Tot_three_meth_P","Tot_P","Enrolment","Margin","isALP","ALP_Safety_Ranking","TotalEstimatedCost"
"1","ALGESTER",54310,0.293297735223716,0.602356840360891,0.104474314122629,370,1801,54310,1.94395786483608,1955,600,5802,4025,7379,494,809,8684,0.605632816057729,0.274179423407013,0.0444179773706519,388,1308,4,28,18001,1439,241,69,134,235,22058,107,0,258,37,3,408,0,148,89,19,252,146,808,67,14,4,91,26390,35643,0.288506533242144,1,0,7700000
"2","ASPLEY",44487,0.245217704048374,0.572212106907636,0.182750016858858,395,2115,44487,1.85670632598661,1996,910,6678,3700,5436,350,664,6442,0.594090068390038,0.302249559120822,0.0451202202245258,956,1007,3,30,13659,1099,149,121,117,252,17637,125,0,326,56,18,526,0,73,61,7,148,107,785,55,9,4,67,21888,33523,0.0234209542793073,1,2,15000000
"3","BARRON RIVER",60957,0.266614170644881,0.608232032416293,0.12520301195925,335,1802,60957,1.81132429516348,1821,1090,6990,5270,9740,551,999,11297,0.582486122372607,0.304372232270941,0.0496164161417077,4,517,0,28,21090,1601,194,394,312,627,25046,0,0,4,0,0,3,0,18,50,21,92,236,330,5,12,17,37,30028,31459,0.0372015938502768,1,2,169975000
"4","BONNEY",55664,0.198683007701506,0.59127156463518,0.210043651356707,360,1419.5,55664,1.58142567328038,1693.5,598.5,5775.5,4591.5,8028,498,1053,9578,0.534785955215364,0.335059013747807,0.0435672190027416,193.5,368,305,44,16105.5,1304.5,123,257,199.5,825.5,19965,66.5,5,83.5,15,4,174,78.5,13,18,9.5,125,207.5,502.5,56,28,19,101,24196.5,33499,0.0338089926535636,0,3,48017000
"5","BUDERIM",49957,0.259803430950618,0.552635266329043,0.187601337149949,410,1701,49957,1.87108053883634,1403,919,5884,4410,7717,445,910,9073,0.530569276864523,0.358207142278727,0.0426350311766135,54,268,6,25,16069,1100,199,157,204,300,18547,11,0,65,4,0,77,0,19,27,13,58,145,275,14,16,10,43,23007,33923,0.228133026902798,0,5,6871000
"6","BULIMBA",52351,0.242211228056771,0.659261523180073,0.0984126377719623,429,2541,52351,1.68535708536782,3115,1444,10334,4239,5482,309,619,6412,0.646811722621509,0.265268616061173,0.0392832529290145,1493,1448,3,73,16255,1279,126,552,187,631,23183,209,0,158,46,28,447,0,78,48,26,391,368,1203,72,72,14,164,28995,30698,0.215572595224737,1,0,12950000
"7","BUNDABERG",43702,0.240057663264839,0.525628117706283,0.23445151251659,255,1168,43702,1.54470137257327,355,314,2479,2067,6825,614,662,8108,0.51219512195122,0.324123031440105,0.0478139746432429,4,161,0,37,10962,1306,139,163,78,378,13414,0,0,8,0,0,8,0,8,3,4,17,99,126,0,0,7,7,15549,33796,0.0839740791726824,0,4,6379214
"8","BUNDAMBA",79568,0.337786547355721,0.591167303438568,0.0709456062738789,340,1615,79568,1.81970809077871,1446,700,5713,5280,11386,954,1224,13556,0.596100714174008,0.255929729447949,0.049444820935203,1607,181,3,41,23567,2128,280,76,186,326,28755,207,0,528,117,48,901,0,22,25,5,60,249,1212,175,0,15,190,34584,33512,0.431063633569013,1,0,2000000
"9","BURDEKIN",48265,0.23886874546773,0.593597845229462,0.167533409302807,250,1547,48265,1.8599185788305,545,388,3010,2231,7762,518,614,8899,0.615592761711483,0.259682056485709,0.0561474716725858,4,234,0,25,14837,1442,350,214,220,1091,18600,0,0,3,0,0,6,0,20,6,3,34,127,162,0,4,3,6,22036,32562,0.015957628566547,0,3,4300000
"10","BURLEIGH",51486,0.228877753175621,0.594336324437711,0.17684419065377,390,1695,51486,1.72066832337546,1372,761,6020,4328,8230,411,909,9546,0.562754256441163,0.33313243935513,0.0460675003766762,184,428,26,26,17580,1012,152,354,151,502,20623,42,0,72,11,11,136,81,16,26,10,126,156,420,35,20,11,57,24998,34979,0.0970782280867106,0,4,498000
"11","BURNETT",48417,0.233822830823884,0.539872358882211,0.226222194683685,280,1218,48417,1.88118527042578,597,535,3227,2828,8390,598,766,9757,0.535362974621287,0.315807593940586,0.0524788510722015,10,159,0,10,12529,1024,242,88,142,637,14982,0,0,10,0,0,9,0,14,3,0,21,98,124,0,9,4,11,18376,32803,0.213074897008172,0,5,20927000
"12","CAIRNS",60238,0.234038314685083,0.625634981241077,0.1402603008068,266,1419,60238,1.45761664924451,1277,751,5960,4252,8484,753,906,10145,0.556409637723622,0.30061011340526,0.0506359656681948,17,509,7,171,16765,1864,125,833,377,1461,22433,0,0,12,3,0,12,0,13,43,33,86,217,315,0,27,20,44,26332,31624,0.0678353926849016,1,1,448503000
"13","CALLIDE",46182,0.249880905980685,0.550019488112252,0.19996968515872,175,1259,46182,1.94952362925106,309,322,2265,2124,6457,568,693,7714,0.600456281307345,0.271041015721867,0.0625402965828498,3,269,3,8,10604,1023,289,102,238,1303,13993,0,0,0,0,0,0,0,32,8,3,42,114,157,0,4,14,20,18835,34999,0.122297180418613,0,5,43954210
"14","CALOUNDRA",51095,0.235404638418632,0.538076132694001,0.226675799980429,350,1426,51095,1.75837269214255,916,694,4415,4056,8793,520,983,10292,0.523704089606668,0.349222887904836,0.0532690804897109,113,245,0,15,14271,1129,250,164,183,573,17069,19,0,90,10,8,123,0,7,18,9,39,136,295,20,12,8,39,21329,33826,0.068133379168099,0,4,101000000
"15","CAPALABA",47361,0.258313802495724,0.600620763919681,0.141002090327485,370,1795,47361,1.96277381245385,803,556,3990,3695,8739,527,790,10060,0.594380010897486,0.296100256869308,0.0464699929944734,455,573,3,33,16719,1110,274,88,118,284,19918,47,0,168,24,13,257,0,124,43,9,180,175,616,53,19,3,80,24073,35616,0.15715160697592,1,0,13893000
"16","CHATSWORTH",51151,0.266329104025337,0.606557056558034,0.126859689937636,425,2272,51151,1.88888888888889,2427,1159,8491,4147,5935,326,704,6959,0.615376424235971,0.29404039328435,0.0408902140347141,366,2202,3,37,16731,1256,196,167,128,354,21707,63,0,211,23,8,302,0,182,98,20,315,226,834,50,25,5,83,26771,34755,0.0580259222333001,0,3,2778197
"17","CLAYFIELD",52226,0.211944242331406,0.670202581089879,0.117872324129744,360,2409,52226,1.54229249011858,3295,1387,10935,4351,4886,329,702,5922,0.633596540087153,0.275187575767504,0.0394154844205629,2614,1737,13,93,15755,1325,91,415,230,863,23503,321,0,244,78,36,692,0,89,40,20,172,158,1016,84,20,12,116,28940,35392,0.0482745733150616,0,3,27281000
