Electorate,TotalEstimatedCost
ALGESTER,7700000
ASPLEY,15000000
BARRON RIVER,150000000
BARRON RIVER,7700000
BARRON RIVER,450000
BARRON RIVER,11825000
BONNEY,417000
BONNEY,11500000
BONNEY,36100000
BUDERIM,6871000
BULIMBA,2000000
BULIMBA,5450000
BULIMBA,5500000
BUNDABERG,2250000
BUNDABERG,4129214
BUNDAMBA,0
BUNDAMBA,2000000
BURDEKIN,4300000
BURLEIGH,498000
BURNETT,3567000
BURNETT,17360000
CAIRNS,352000000
CAIRNS,5600000
CAIRNS,9078000
CAIRNS,11825000
CAIRNS,70000000
CALLIDE,2100000
CALLIDE,4966210
CALLIDE,36888000
CALOUNDRA,60000000
CALOUNDRA,41000000
CAPALABA,1653000
CAPALABA,4017000
CAPALABA,4061000
CAPALABA,4162000
CHATSWORTH,2778197
CLAYFIELD,4600000
CLAYFIELD,5781000
CLAYFIELD,7900000
CLAYFIELD,9000000
CONDAMINE,4600000
CONDAMINE,656880
COOK,3300000
COOK,1800000
COOK,4900000
COOK,1600000
COOK,2000000
COOK,2000000
COOK,5000000
COOK,6700000
COOK,7000000
COOK,8200000
COOK,13066000
COOK,47310437
COOMERA,8744000
COOMERA,53680000
COOMERA,3000000
COOMERA,6585000
COOPER,5000000
EVERTON,1224333
EVERTON,5821000
EVERTON,11000000
FERNY GROVE,2587182
FERNY GROVE,4500000
FERNY GROVE,6710000
FERNY GROVE,11000000
FERNY GROVE,11000000
FERNY GROVE,17297000
GAVEN,6993000
GLADSTONE,4635000
GLADSTONE,42000000
GLASS HOUSE,3000000
GREENSLOPES,4444000
GREENSLOPES,8600000
GREENSLOPES,8887000
GREGORY,3100000
GREGORY,11100000
GREGORY,17900000
GYMPIE,2694000
GYMPIE,4305000
HERVEY BAY,11000000
HERVEY BAY,39600000
HILL,1800000
HINCHINBROOK,5113000
INALA,2200000
INALA,3489000
IPSWICH WEST,2000000
IPSWICH WEST,6700000
JORDAN,4230000
JORDAN,5000000
KAWANA,3000000
KAWANA,5008000
KEPPEL,5700000
KURWONGBAH,5000000
KURWONGBAH,0
LOCKYER,0
LOCKYER,3639000
LOCKYER,8123000
LOGAN,3960000
MACALISTER,3822000
MACALISTER,6498000
MAIWAR,5000000
MAIWAR,9683000
MAIWAR,11000000
MAIWAR,12000000
MAIWAR,16246000
MAIWAR,25802000
MANSFIELD,4390000
MANSFIELD,4826000
MANSFIELD,5497000
MANSFIELD,7590786
MANSFIELD,7700000
MANSFIELD,8983000
MANSFIELD,11000000
MAROOCHYDORE,4921000
MARYBOROUGH,4112240
MARYBOROUGH,2500000
McCONNEL,1595000
McCONNEL,1250000
McCONNEL,3950000
McCONNEL,3075000
McCONNEL,4000000
McCONNEL,5833000
McCONNEL,13000000
McCONNEL,14150000
McCONNEL,77907000
MIRANI,11000000
MIRANI,16500000
MIRANI,241000000
MOGGILL,6492500
MORAYFIELD,3080000
MORAYFIELD,11610000
MORAYFIELD,13795061
MORAYFIELD,21215000
MORAYFIELD,21215000
MOUNT OMMANEY,6689000
MOUNT OMMANEY,7645000
MUNDINGBURRA,26000000
MUNDINGBURRA,26000000
MURRUMBA,0
MURRUMBA,4100000
MURRUMBA,13050000
MURRUMBA,19304000
NA,62547000
NA,5543000
NA,7100000
NANANGO,1800000
NANANGO,1800000
NANANGO,12100001
NICKLIN,9040000
NINDERRY,2700000
NINDERRY,7000000
NINDERRY,7160000
NOOSA,12984000
OODGEROO,7763000
PINE RIVERS,1400000
PINE RIVERS,8000000
PINE RIVERS,9700000
PUMICESTONE,7645000
REDCLIFFE,2850000
REDCLIFFE,500000000
REDLANDS,9900000
ROCKHAMPTON,2200000
ROCKHAMPTON,2500000
ROCKHAMPTON,5000000
SANDGATE,950000000
SANDGATE,6766000
SCENIC RIM,1800000
SCENIC RIM,9939000
SOUTH BRISBANE,1300000
SOUTH BRISBANE,30000000
SOUTH BRISBANE,1300000
SOUTH BRISBANE,20000000
SOUTH BRISBANE,118146000
SOUTH BRISBANE,150000000
SOUTHPORT,3357000
SOUTHPORT,5000000
SOUTHPORT,6200000
SOUTHPORT,0
SOUTHPORT,354000
SPRINGWOOD,4000000
SPRINGWOOD,9003500
SPRINGWOOD,11000000
STAFFORD,5734000
STRETTON,670000000
STRETTON,2025000
STRETTON,6020000
STRETTON,7150000
STRETTON,9450000
STRETTON,450000
THURINGOWA,5000000
THURINGOWA,2700000
THURINGOWA,11825000
TOOHEY,6110000
TOOWOOMBA NORTH,2770000
TOOWOOMBA NORTH,1500000
TOWNSVILLE,248900000
TRAEGER,8027000
TRAEGER,3000000
WARREGO,2107000
WARREGO,98100000
WATERFORD,3500000
WATERFORD,17600000
WHITSUNDAY,7338000
