"","SED_NAME_2016","Tot_Population","Under_Age","Working_Age","Retired","Median_rent_weekly","Median_tot_fam_inc_weekly","Tot_P_Need_for_Asstn","Ave_Motor_Vehicle_per_Dwelling","Non_sch_quals_PostGrad_Dgre_P","Non_sch_quals_Gr_Dip_Gr_Crt_P","Non_sch_quals_Bchelr_Degree_P","Non_sch_quls_Advncd_Dip_Dip_P","Non_sch_quls_Cert3a4_Level_P","Non_sch_quls_Cert1a2_Level_P","Non_sch_quls_Certnfd_Level_P","Non_sch_quls_CertTot_Level_P","Full_time_Employ","Employ_away_from_work","Unemploy","One_method_Train_P","One_method_Bus_P","One_met_Tram_incl_lt_rail_P","One_method_Taxi_P","One_method_Car_as_driver_P","One_method_Car_as_passenger_P","One_method_Truck_P","One_method_Bicycle_P","One_method_Other_P","One_method_Walked_only_P","One_method_Tot_one_method_P","Two_methods_Train_Bus_P","Two_mt_trn_Trm_incl_lt_rl_P","Two_methods_Trn_Car_as_drvr_P","Two_methods_Trn_Car_as_pass_P","Two_methods_Train_Other_P","Two_methods_Train_Tot_P","Two_mth_Bu_Trm_inc_lt_rl_P","Two_methods_Bus_Car_as_drvr_P","Two_methods_Bus_Car_as_pass_P","Two_methods_Bus_Other_P","Two_methods_Bus_Tot_P","Two_methds_Othr_two_methds_P","Two_methods_Tot_two_methods_P","Three_meth_Trn_two_othr_met_P","Three_met_Bs_2_ot_met_ex_tr_P","Three_meth_Othr_three_meth_P","Three_meth_Tot_three_meth_P","Tot_P"
"1","Albert",69881,0.319285642735508,0.588371660394098,0.092399937035818,410,1806,69881,2.09285544742464,1091,668,4995,5384,12078,679,1180,13932,0.595365565713972,0.046316887680861,0.0675946517310491,479,202,8,17,24766,1686,414,53,193,327,28396,74,0,203,32,17,321,0,43,22,3,76,228,624,88,12,5,107,33958
"2","Algester",54310,0.293297735223716,0.602356840360891,0.104474314122629,370,1801,54310,1.94395786483608,1955,600,5802,4025,7379,494,809,8684,0.605632816057729,0.0444179773706519,0.0756646933127824,388,1308,4,28,18001,1439,241,69,134,235,22058,107,0,258,37,3,408,0,148,89,19,252,146,808,67,14,4,91,26390
"3","Ashgrove",46556,0.277150098805739,0.602715009880574,0.120048973279491,400,2502,46556,1.75442941512669,3299,1539,9563,3622,4097,306,504,4904,0.598198475633228,0.0408037570251751,0.0521595195935022,840,2241,0,41,13517,1188,81,613,127,974,19971,155,0,105,23,13,300,3,149,82,23,259,165,721,48,20,13,83,24631
"4","Aspley",44487,0.245217704048374,0.572212106907636,0.182750016858858,395,2115,44487,1.85670632598661,1996,910,6678,3700,5436,350,664,6442,0.594090068390038,0.0451202202245258,0.0585831648673061,956,1007,3,30,13659,1099,149,121,117,252,17637,125,0,326,56,18,526,0,73,61,7,148,107,785,55,9,4,67,21888
"5","Barron River",60957,0.266614170644881,0.608232032416293,0.12520301195925,335,1802,60957,1.81132429516348,1821,1090,6990,5270,9740,551,999,11297,0.582486122372607,0.0496164161417077,0.0635876005738165,4,517,0,28,21090,1601,194,394,312,627,25046,0,0,4,0,0,3,0,18,50,21,92,236,330,5,12,17,37,30028
"6","Beaudesert",58081,0.272447099740018,0.563247877963534,0.16416728362115,320,1544,58081,2.10583669997874,848,612,3859,4023,9623,664,1039,11323,0.580149029108395,0.0554270821862497,0.0594648166501487,53,128,0,11,17413,1094,535,44,177,640,20287,5,0,106,13,0,129,0,86,13,3,104,147,377,25,4,7,37,25622
"7","Brisbane Central",62513,0.127109561211268,0.787148273159183,0.0856461855933966,430,2322,62513,1.12621398347774,5645,1814,15961,4756,4677,442,671,5793,0.619467632698063,0.0383787473092876,0.0758912164645351,1693,4329,13,201,12211,1360,64,1106,280,7537,29386,363,4,50,22,36,482,0,63,69,84,263,170,919,81,53,18,158,35206
"8","Broadwater",51599,0.182813620419,0.568034264229927,0.249249016453807,355,1417,51599,1.57537331701346,1274,529,4894,4311,7998,498,1075,9573,0.550062893081761,0.0435220125786164,0.08,154,317,29,36,15116,1062,112,208,196,472,17924,63,0,87,16,5,167,53,13,21,4,95,170,428,49,23,12,81,21937
"9","Buderim",49957,0.259803430950618,0.552635266329043,0.187601337149949,410,1701,49957,1.87108053883634,1403,919,5884,4410,7717,445,910,9073,0.530569276864523,0.0426350311766135,0.0686290387885659,54,268,6,25,16069,1100,199,157,204,300,18547,11,0,65,4,0,77,0,19,27,13,58,145,275,14,16,10,43,23007
"10","Bulimba",52351,0.242211228056771,0.659261523180073,0.0984126377719623,429,2541,52351,1.68535708536782,3115,1444,10334,4239,5482,309,619,6412,0.646811722621509,0.0392832529290145,0.0486364083883036,1493,1448,3,73,16255,1279,126,552,187,631,23183,209,0,158,46,28,447,0,78,48,26,391,368,1203,72,72,14,164,28995
"11","Bundaberg",43702,0.240057663264839,0.525628117706283,0.23445151251659,255,1168,43702,1.54470137257327,355,314,2479,2067,6825,614,662,8108,0.51219512195122,0.0478139746432429,0.115754164534652,4,161,0,37,10962,1306,139,163,78,378,13414,0,0,8,0,0,8,0,8,3,4,17,99,126,0,0,7,7,15549
"12","Bundamba",79568,0.337786547355721,0.591167303438568,0.0709456062738789,340,1615,79568,1.81970809077871,1446,700,5713,5280,11386,954,1224,13556,0.596100714174008,0.049444820935203,0.09852473544284,1607,181,3,41,23567,2128,280,76,186,326,28755,207,0,528,117,48,901,0,22,25,5,60,249,1212,175,0,15,190,34584
"13","Burdekin",48265,0.23886874546773,0.593597845229462,0.167533409302807,250,1547,48265,1.8599185788305,545,388,3010,2231,7762,518,614,8899,0.615592761711483,0.0561474716725858,0.0682394723490614,4,234,0,25,14837,1442,350,214,220,1091,18600,0,0,3,0,0,6,0,20,6,3,34,127,162,0,4,3,6,22036
"14","Burleigh",51486,0.228877753175621,0.594336324437711,0.17684419065377,390,1695,51486,1.72066832337546,1372,761,6020,4328,8230,411,909,9546,0.562754256441163,0.0460675003766762,0.0581211390688564,184,428,26,26,17580,1012,152,354,151,502,20623,42,0,72,11,11,136,81,16,26,10,126,156,420,35,20,11,57,24998
"15","Burnett",48417,0.233822830823884,0.539872358882211,0.226222194683685,280,1218,48417,1.88118527042578,597,535,3227,2828,8390,598,766,9757,0.535362974621287,0.0524788510722015,0.0962522132598859,10,159,0,10,12529,1024,242,88,142,637,14982,0,0,10,0,0,9,0,14,3,0,21,98,124,0,9,4,11,18376
"16","Cairns",60238,0.234038314685083,0.625634981241077,0.1402603008068,266,1419,60238,1.45761664924451,1277,751,5960,4252,8484,753,906,10145,0.556409637723622,0.0506359656681948,0.092413222570749,17,509,7,171,16765,1864,125,833,377,1461,22433,0,0,12,3,0,12,0,13,43,33,86,217,315,0,27,20,44,26332
"17","Callide",46182,0.249880905980685,0.550019488112252,0.19996968515872,175,1259,46182,1.94952362925106,309,322,2265,2124,6457,568,693,7714,0.600456281307345,0.0625402965828498,0.0657640232108317,3,269,3,8,10604,1023,289,102,238,1303,13993,0,0,0,0,0,0,0,32,8,3,42,114,157,0,4,14,20,18835
"18","Caloundra",51095,0.235404638418632,0.538076132694001,0.226675799980429,350,1426,51095,1.75837269214255,916,694,4415,4056,8793,520,983,10292,0.523704089606668,0.0532690804897109,0.0738039419987844,113,245,0,15,14271,1129,250,164,183,573,17069,19,0,90,10,8,123,0,7,18,9,39,136,295,20,12,8,39,21329
"19","Capalaba",47361,0.258313802495724,0.600620763919681,0.141002090327485,370,1795,47361,1.96277381245385,803,556,3990,3695,8739,527,790,10060,0.594380010897486,0.0464699929944734,0.0630886588308554,455,573,3,33,16719,1110,274,88,118,284,19918,47,0,168,24,13,257,0,124,43,9,180,175,616,53,19,3,80,24073
"20","Chatsworth",51151,0.266329104025337,0.606557056558034,0.126859689937636,425,2272,51151,1.88888888888889,2427,1159,8491,4147,5935,326,704,6959,0.615376424235971,0.0408902140347141,0.0500124232421112,366,2202,3,37,16731,1256,196,167,128,354,21707,63,0,211,23,8,302,0,182,98,20,315,226,834,50,25,5,83,26771
"21","Clayfield",52226,0.211944242331406,0.670202581089879,0.117872324129744,360,2409,52226,1.54229249011858,3295,1387,10935,4351,4886,329,702,5922,0.633596540087153,0.0394154844205629,0.051767635398578,2614,1737,13,93,15755,1325,91,415,230,863,23503,321,0,244,78,36,692,0,89,40,20,172,158,1016,84,20,12,116,28940
"22","Cleveland",50283,0.247260505538651,0.556987451027186,0.195652606248633,400,1914,50283,1.86921211437595,1379,816,5322,4618,7778,438,933,9147,0.589872227012621,0.0410362937994826,0.0564004076193462,882,311,3,27,16050,1058,202,108,185,447,19478,68,0,178,44,22,320,0,52,29,3,85,235,639,58,15,23,92,24076
"23","Condamine",57395,0.295147660946075,0.559909399773499,0.145099747364753,255,1626,57395,2.10230752405949,837,520,4113,3301,9102,645,847,10594,0.596901131333005,0.0550207293935774,0.0597990302859954,8,131,0,20,18274,1439,451,129,215,866,21713,3,0,4,0,0,3,0,5,3,3,19,166,190,3,3,10,15,26761
"24","Cook",51639,0.290865431166366,0.581304827746471,0.127849106295629,150,1302,51639,1.5499271619653,519,432,2906,2575,7557,872,728,9154,0.574500136948781,0.0616726011138501,0.0973249338080891,0,264,0,41,10700,1428,200,371,384,2788,16351,3,0,3,0,0,3,0,6,8,9,30,179,216,3,10,15,27,19778
"25","Coomera",74650,0.289457468184863,0.5663496316142,0.144286671131949,395,1636,74650,1.87480705852906,1322,690,5529,5822,11543,739,1412,13700,0.582688108000794,0.0450665078419694,0.0794690717263677,523,223,8,26,22859,1761,338,79,270,415,26753,91,0,183,43,14,334,5,22,18,4,60,212,607,104,18,7,123,32455
"26","Currumbin",48520,0.224051937345425,0.577184666117065,0.198928276999176,367,1609,48520,1.78892773224827,1081,644,4949,4084,8091,384,943,9422,0.528087541243787,0.0502443302844255,0.0628158543206783,93,266,3,24,15625,890,173,248,155,581,18194,10,0,56,6,8,81,19,15,17,4,61,140,275,31,3,4,37,22435
"27","Dalrymple",48456,0.26706702988278,0.555122172692752,0.177769522866105,200,1427,48456,1.85023526498266,561,443,3106,2520,7486,526,690,8705,0.574110953058321,0.0630156472261735,0.0746325272641062,6,279,3,13,11939,1160,234,93,213,1111,15174,0,0,0,0,0,4,0,40,10,3,50,114,163,0,6,8,16,19520
"28","Everton",46194,0.269948478157336,0.594752565268217,0.135385547906655,385,2173,46194,1.8852099893597,1649,1035,6635,4142,6360,346,648,7348,0.605545301025017,0.0424144837607509,0.0508581078427522,1150,686,7,32,15315,1005,158,236,122,369,19379,139,0,483,64,21,705,0,82,42,3,126,141,974,77,12,9,95,24170
"29","Ferny Grove",45719,0.286248605612546,0.574465758218684,0.139088781469411,380,2192,45719,2.01390653205857,1870,1225,6931,3960,5993,322,696,7010,0.580893042575286,0.0466458982346833,0.0534994807892004,1754,139,0,25,13485,961,164,153,109,271,17369,141,0,665,135,39,973,0,45,16,3,63,157,1195,100,4,8,120,22789
"30","Gaven",58463,0.280433778629218,0.589381318098626,0.130150693601081,395,1665,58463,1.97975687103594,1025,643,4759,4684,9875,562,1009,11445,0.568963241602323,0.0434567412393585,0.0701181284234145,243,231,9,23,20623,1462,305,74,184,291,23674,63,0,104,24,15,199,23,12,32,6,71,170,441,52,12,9,70,28187
"31","Gladstone",55616,0.29594001726122,0.610417865362486,0.0936600978135788,250,2023,55616,1.89593004426212,629,511,3814,2824,10946,678,715,12339,0.592175777063237,0.0498749553411933,0.109610575205431,3,560,3,54,16535,1270,124,149,151,601,19971,0,0,7,0,0,4,0,18,6,5,170,538,715,3,637,18,656,24923
"32","Glass House",55380,0.25061394005056,0.568562657999278,0.180859516070784,320,1459,55380,2.10013877324452,991,802,4302,4265,9479,631,962,11068,0.531450980392157,0.0538039215686274,0.0710196078431373,366,135,4,14,15100,1141,508,54,161,627,18276,41,0,137,26,16,223,0,6,9,6,20,157,400,69,8,10,81,23690
