ProjectTitle,Department,ProjectType,TotalEstimatedCost,LastFinancialYearExpenditure,CurrentFinancialYearExpenditure,OngoingProgram,FutureFinancialYearExpenditure,TenderCall,ProcurementSystem,IndicativePQCRating,Region,Commentary,TenderType,ProjectEnvironment,IndigenousCommunity,ProjectNumber,Annotations,FinancialYear,latitude,longitude
"Mango Hill and Morayfield, Mango Hill State School & Morayfield State High School, Pricipal Consultant",EDUCATION,Education - Schools,$0.00,$0.00,$0.00,NA,$0.00,TBA,TBA,TBA,Brisbane,Building Infrastructure Upgrades,TBA,TBA,No,ROS Package 7,,2019 - 2020,-27.243567,153.0348563
"Brisbane, Cultural Precinct, South Brisbane, Queensland Museum: Refurbishment / Renovation / Repairs, General Building, Design and construction works",ARTS QUEENSLAND,Civic,"$1,300,000.00","$55,000.00","$1,245,000.00",NA,$0.00,Q2/2020,Non Traditional,3,Brisbane,Principal Contractor to install upgrades to the Queensland Museum Gas Suppression System,Open,Medium - within a day use facility,No,Not Applicable,,2019 - 2020,-27.4712257,153.0179901
"Brisbane, Judith Wright Centre of Contemporary Arts, JWCoCA Refurbishment: Refurbishment / Renovation / Repairs, General Building",ARTS QUEENSLAND,Civic,"$1,595,000.00","$275,000.00","$1,320,000.00",NA,$0.00,TBA,Traditional,3,Brisbane,,Select,High - within a 24 hour use facility,No,AQ 035/2019,,2019 - 2020,-27.4596745,153.0367734
"Lee Street, Caboolture, Caboolture State High School, Administration Refurb: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$3,080,000.00","$1,450,000.00","$200,000.00",NA,"$1,430,000.00",Q2/2020,Non Traditional,2,Brisbane,,Select,Medium - within a day use facility,No,34-154004,,2019 - 2020,-27.0849284,152.963553
"Moranbah State High School, Moranbah State High School, New multi-purpose hall: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$4,300,000.00","$303,000.00","$3,997,000.00",NA,$0.00,Q2/2020,Non Traditional,2,Mackay,,Select,Medium - within a day use facility,No,34-151596,,2019 - 2020,-21.9988682,148.0601551
"Goodna, Goodna Special School, New Building - 8 Senior GLA/Kitchen: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$10,000,000.00",$0.00,"$300,000.00",NA,"$9,700,000.00",Q2/2020,Non Traditional,0,Brisbane,,Select,TBA,No,34-153498,,2019 - 2020,-27.6155919,152.8934946
"Brisbane, Vulture Street, Woolloongabba, The Gabba: Refurbishment / Renovation / Repairs, Non-Residential Interior Refurbishment and Fitout",HPW - PROJECT DELIVERY,Recreational,"$30,000,000.00",$0.00,"$20,000,000.00",NA,"$10,000,000.00",Q2/2020,Non Traditional,3,Brisbane,"

Refurbishment works for the Gabba. ",Select,Medium - within a day use facility,No,2600585,,2019 - 2020,-27.4825576,153.0227999
"Cairns, Cairns Convention Centre, Cairns Convention Centre: New Construction Work / Addition, General Building, Extension and Refurbishment",HPW - PROJECT DELIVERY,Civic,"$352,000,000.00","$176,000,000.00","$60,000,000.00",NA,"$116,000,000.00",Tenders Under Review,Non Traditional,3,Far North,0,Select,Medium - within a day use facility,No,2600581,,2019 - 2020,-16.9275,145.777778
"Tagai State College - Thursday Island SS, Thursday Island SHS, Mer Campus, Various - Thursday and Mer Island, Torres Strait, Air Con Replacement at Tagai State College: New Construction Work / Addition, General Building",EDUCATION,Education - Colleges,"$3,300,000.00","$130,000.00","$3,170,000.00",NA,$0.00,Tenders Under Review,Non Traditional,2,Far North,,Open,Medium - within a day use facility,Yes,"34-153999, 34-154000, 34-154001",,2019 - 2020,-10.5816183,142.2203979
"Ormeau, Gold Coast, Ormeau State School, New GLA Block: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$8,744,000.00","$382,000.00","$8,281,000.00",NA,"$81,000.00",Tenders Under Review,Traditional,2,Brisbane,,Open,Medium - within a day use facility,No,34-151866,,2019 - 2020,-27.7831901,153.2638599
"Forest Lake, Grand Avenue State School, Kauma Hall Upgrade: New Construction Work / Addition, General Building",EDUCATION,Education - Schools,"$2,200,000.00",$0.00,"$2,200,000.00",NA,$0.00,Q1/2020,Traditional,2,Brisbane,,Open,Medium - within a day use facility,No,34-154514,,2019 - 2020,-27.6255404,152.9582787
