SED_CODE_2016,Electorate,Tot_P_M,Tot_P_F,Tot_P_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P
SED30001,Albert,34332,35551,69881,641,730,1369,36,30,62,22,22,42,695,775,1469,23339,23991,47333,8896,9351,18249,29776,30567,60347,2619,2965,5581,27223,28220,55445
SED30002,Algester,26679,27634,54310,450,442,890,43,31,69,43,37,83,534,512,1042,16096,16546,32643,9388,9932,19324,18365,18773,37139,7145,7756,14898,21293,22026,43311
SED30003,Ashgrove,23111,23450,46556,245,201,446,23,8,31,16,9,27,285,225,509,17605,17824,35427,4509,4602,9116,20374,20339,40712,1770,2131,3906,20413,20666,41078
SED30004,Aspley,21419,23070,44487,269,281,547,12,10,16,17,24,42,290,309,602,14983,16196,31180,5546,5922,11469,17099,18297,35398,3463,3915,7376,18548,20039,38585
SED30005,Barron River,29957,31001,60957,934,930,1865,268,266,533,194,192,388,1402,1389,2794,21017,21158,42176,6438,7443,13886,25020,25413,50429,2620,3374,5996,24972,25481,50456
SED30006,Beaudesert,28739,29335,58081,810,826,1631,41,42,79,44,44,91,894,907,1803,22039,22352,44390,4250,4533,8787,25475,26145,51624,954,1141,2093,24632,25366,49998
SED30007,Brisbane Central,32025,30487,62513,299,252,551,29,16,49,18,23,39,351,293,644,16275,15359,31634,11891,11717,23608,19957,18431,38391,8283,8699,16981,20096,18954,39046
SED30008,Broadwater,24434,27169,51599,348,392,745,30,11,47,17,19,35,400,422,822,14962,16271,31231,7348,8565,15920,19450,21388,40841,3025,3622,6647,18923,21020,39944
SED30009,Buderim,23704,26250,49957,305,328,629,21,20,41,13,15,24,333,362,695,17174,19067,36240,5200,5849,11054,21337,23503,44844,1161,1567,2730,20257,22625,42882
SED30010,Bulimba,25467,26878,52351,301,321,613,30,31,66,20,16,34,349,368,714,17906,19103,37009,5942,6157,12095,20952,22059,43012,2928,3272,6206,21010,22369,43383
SED30011,Bundaberg,21015,22684,43702,945,1027,1967,68,48,117,73,60,137,1082,1136,2219,17066,18381,35449,2284,2540,4826,18390,19834,38225,1075,1231,2311,18386,19886,38267
SED30012,Bundamba,39316,40254,79568,1308,1435,2747,94,82,180,76,74,149,1483,1591,3075,24847,25194,50041,11709,12239,23952,29000,29229,58231,7733,8402,16140,30039,30650,60691
SED30013,Burdekin,25405,22862,48265,1498,1187,2689,184,151,338,194,199,395,1885,1542,3421,20107,18206,38315,2502,2613,5117,20735,19300,40038,1390,1578,2971,21098,19759,40859
SED30014,Burleigh,24643,26841,51486,348,393,743,19,25,46,17,16,33,384,433,821,17562,18869,36433,5272,6004,11277,21116,22561,43677,1874,2480,4348,20479,22227,42705
SED30015,Burnett,24353,24066,48417,665,679,1341,32,28,54,38,34,77,737,741,1475,19446,19013,38462,2954,3237,6200,21897,21574,43472,775,962,1738,21632,21283,42908
SED30016,Cairns,29778,30456,60238,1381,1623,3005,1092,1328,2423,672,700,1375,3153,3658,6806,18899,18725,37624,7071,8040,15115,20935,20725,41662,5225,6242,11467,22767,22707,45475
SED30017,Callide,23735,22449,46182,1664,1714,3378,44,33,78,83,86,175,1790,1833,3626,19031,18197,37228,2089,2027,4109,20485,19677,40163,915,811,1727,20405,19623,40023
SED30018,Caloundra,24619,26478,51095,499,532,1033,18,18,40,21,14,33,540,569,1106,18503,19825,38323,4524,4963,9485,22231,23762,45991,965,1250,2211,21283,22911,44194
