Electorate,TotalEstimatedCost,Party,Safety,Margin,MarginPower,Unnamed: 0,Tot_Population,Under_Age,Working_Age,Retired,Median_rent_weekly,Median_tot_fam_inc_weekly,Tot_P_Need_for_Asstn,Ave_Motor_Vehicle_per_Dwelling,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_P,Full_time_Employ,Employ_away_from_work,Unemploy,One_method_Train_P,One_method_Bus_P,One_met_Tram_incl_lt_rail_P,One_method_Taxi_P,One_method_Car_as_driver_P,One_method_Car_as_passenger_P,One_method_Truck_P,One_method_Bicycle_P,One_method_Other_P,One_method_Walked_only_P,One_method_Tot_one_method_P,Two_methods_Train_Bus_P,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_P,Two_methods_Train_Tot_P,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_P,Tot_P,Enrolment
ALGESTER,7700000,ALP,Safe,28.85,28.85,2,54310.0,0.293297735,0.60235684,0.104474314,370.0,1801.0,54310.0,1.943957865,1955.0,600.0,5802.0,4025.0,7379.0,494,809.0,8684.0,0.605632816,0.044417977000000004,0.07566469299999999,388.0,1308.0,4.0,28.0,18001.0,1439.0,241.0,69.0,134.0,235.0,22058.0,107.0,0,258.0,37.0,3.0,408.0,0.0,148.0,89.0,19.0,252.0,146.0,808.0,67.0,14.0,4.0,91.0,26390.0,35643
ASPLEY,15000000,ALP,Marginal,2.34,2.34,4,44487.0,0.24521770399999998,0.572212107,0.182750017,395.0,2115.0,44487.0,1.8567063259999999,1996.0,910.0,6678.0,3700.0,5436.0,350,664.0,6442.0,0.594090068,0.04512022,0.058583165,956.0,1007.0,3.0,30.0,13659.0,1099.0,149.0,121.0,117.0,252.0,17637.0,125.0,0,326.0,56.0,18.0,526.0,0.0,73.0,61.0,7.0,148.0,107.0,785.0,55.0,9.0,4.0,67.0,21888.0,33523
BARRON RIVER,169975000,ALP,Marginal,3.72,3.72,5,60957.0,0.266614171,0.608232032,0.125203012,335.0,1802.0,60957.0,1.811324295,1821.0,1090.0,6990.0,5270.0,9740.0,551,999.0,11297.0,0.582486122,0.049616415999999997,0.063587601,4.0,517.0,0.0,28.0,21090.0,1601.0,194.0,394.0,312.0,627.0,25046.0,0.0,0,4.0,0.0,0.0,3.0,0.0,18.0,50.0,21.0,92.0,236.0,330.0,5.0,12.0,17.0,37.0,30028.0,31459
BONNEY,48017000,LNP,Marginal,3.38,-3.38,80,58376.0,0.17717897800000001,0.6363402770000001,0.186360833,380.0,1627.0,58376.0,1.543958324,2121.0,784.0,7929.0,5270.0,7159.0,472,1066.0,8692.0,0.540176482,0.041680594,0.07320008,270.0,408.0,806.0,64.0,16509.0,1247.0,115.0,413.0,298.0,1993.0,22394.0,65.0,16,100.0,13.0,12.0,201.0,172.0,19.0,14.0,8.0,214.0,228.0,644.0,54.0,31.0,22.0,107.0,27729.0,35920
BUDERIM,6871000,LNP,Safe,22.81,-22.81,9,49957.0,0.25980343100000003,0.552635266,0.18760133699999998,410.0,1701.0,49957.0,1.871080539,1403.0,919.0,5884.0,4410.0,7717.0,445,910.0,9073.0,0.530569277,0.042635031,0.068629039,54.0,268.0,6.0,25.0,16069.0,1100.0,199.0,157.0,204.0,300.0,18547.0,11.0,0,65.0,4.0,0.0,77.0,0.0,19.0,27.0,13.0,58.0,145.0,275.0,14.0,16.0,10.0,43.0,23007.0,33923
BULIMBA,12950000,ALP,Safe,21.56,21.56,10,52351.0,0.242211228,0.659261523,0.09841263800000001,429.0,2541.0,52351.0,1.685357085,3115.0,1444.0,10334.0,4239.0,5482.0,309,619.0,6412.0,0.646811723,0.039283253,0.048636408,1493.0,1448.0,3.0,73.0,16255.0,1279.0,126.0,552.0,187.0,631.0,23183.0,209.0,0,158.0,46.0,28.0,447.0,0.0,78.0,48.0,26.0,391.0,368.0,1203.0,72.0,72.0,14.0,164.0,28995.0,30698
BUNDABERG,6379214,LNP,Fairly Safe,8.4,-8.4,11,43702.0,0.240057663,0.525628118,0.234451513,255.0,1168.0,43702.0,1.544701373,355.0,314.0,2479.0,2067.0,6825.0,614,662.0,8108.0,0.5121951220000001,0.047813975,0.115754165,4.0,161.0,0.0,37.0,10962.0,1306.0,139.0,163.0,78.0,378.0,13414.0,0.0,0,8.0,0.0,0.0,8.0,0.0,8.0,3.0,4.0,17.0,99.0,126.0,0.0,0.0,7.0,7.0,15549.0,33796
BUNDAMBA,2000000,ALP,Safe,43.11,43.11,12,79568.0,0.33778654700000005,0.591167303,0.070945606,340.0,1615.0,79568.0,1.8197080909999999,1446.0,700.0,5713.0,5280.0,11386.0,954,1224.0,13556.0,0.596100714,0.04944482099999999,0.098524735,1607.0,181.0,3.0,41.0,23567.0,2128.0,280.0,76.0,186.0,326.0,28755.0,207.0,0,528.0,117.0,48.0,901.0,0.0,22.0,25.0,5.0,60.0,249.0,1212.0,175.0,0.0,15.0,190.0,34584.0,33512
BURDEKIN,4300000,LNP,Swing,1.6,-1.6,13,48265.0,0.238868745,0.593597845,0.167533409,250.0,1547.0,48265.0,1.8599185790000001,545.0,388.0,3010.0,2231.0,7762.0,518,614.0,8899.0,0.615592762,0.056147472000000004,0.068239472,4.0,234.0,0.0,25.0,14837.0,1442.0,350.0,214.0,220.0,1091.0,18600.0,0.0,0,3.0,0.0,0.0,6.0,0.0,20.0,6.0,3.0,34.0,127.0,162.0,0.0,4.0,3.0,6.0,22036.0,32562
BURLEIGH,498000,LNP,Fairly Safe,9.71,-9.71,14,51486.0,0.22887775300000002,0.594336324,0.176844191,390.0,1695.0,51486.0,1.7206683230000002,1372.0,761.0,6020.0,4328.0,8230.0,411,909.0,9546.0,0.5627542560000001,0.046067500000000004,0.058121139,184.0,428.0,26.0,26.0,17580.0,1012.0,152.0,354.0,151.0,502.0,20623.0,42.0,0,72.0,11.0,11.0,136.0,81.0,16.0,26.0,10.0,126.0,156.0,420.0,35.0,20.0,11.0,57.0,24998.0,34979
BURNETT,20927000,LNP,Safe,21.31,-21.31,15,48417.0,0.233822831,0.539872359,0.226222195,280.0,1218.0,48417.0,1.88118527,597.0,535.0,3227.0,2828.0,8390.0,598,766.0,9757.0,0.535362975,0.05247885099999999,0.096252213,10.0,159.0,0.0,10.0,12529.0,1024.0,242.0,88.0,142.0,637.0,14982.0,0.0,0,10.0,0.0,0.0,9.0,0.0,14.0,3.0,0.0,21.0,98.0,124.0,0.0,9.0,4.0,11.0,18376.0,32803
CAIRNS,448503000,ALP,Fairly Safe,6.78,6.78,16,60238.0,0.234038315,0.625634981,0.140260301,266.0,1419.0,60238.0,1.457616649,1277.0,751.0,5960.0,4252.0,8484.0,753,906.0,10145.0,0.556409638,0.050635966,0.092413223,17.0,509.0,7.0,171.0,16765.0,1864.0,125.0,833.0,377.0,1461.0,22433.0,0.0,0,12.0,3.0,0.0,12.0,0.0,13.0,43.0,33.0,86.0,217.0,315.0,0.0,27.0,20.0,44.0,26332.0,31624
CALLIDE,43954210,LNP,Safe,12.23,-12.23,17,46182.0,0.249880906,0.550019488,0.199969685,175.0,1259.0,46182.0,1.949523629,309.0,322.0,2265.0,2124.0,6457.0,568,693.0,7714.0,0.600456281,0.06254029700000001,0.065764023,3.0,269.0,3.0,8.0,10604.0,1023.0,289.0,102.0,238.0,1303.0,13993.0,0.0,0,0.0,0.0,0.0,0.0,0.0,32.0,8.0,3.0,42.0,114.0,157.0,0.0,4.0,14.0,20.0,18835.0,34999
