,region,code,year,Persons - Total (no.),Total employee income ($m),Number of Jobs - Persons,Latitude,Longitude
1,Aurukun (S),30250,2011,-,-,-,-13.35864,141.72289
2,Aurukun (S),30250,2014,"1,332",7.1,363,-13.35864,141.72289
3,Aurukun (S),30250,2015,"1,321",9.5,448,-13.35864,141.72289
4,Aurukun (S),30250,2016,"1,323",8.1,362,-13.35864,141.72289
5,Aurukun (S),30250,2017,"1,343",12.9,588,-13.35864,141.72289
6,Aurukun (S),30250,2018,"1,382",-,-,-13.35864,141.72289
7,Aurukun (S),30250,2019,-,-,0,-13.35864,141.72289
21,Balonne (S),30300,2014,"4,726",104.9,"3,804",-28.03722,148.57443
31,Balonne (S),30300,2015,"4,610",102.7,"3,532",-28.03722,148.57443
41,Balonne (S),30300,2016,"4,461",99.4,"3,395",-28.03722,148.57443
51,Balonne (S),30300,2017,"4,373",108.7,"3,678",-28.03722,148.57443
61,Balonne (S),30300,2018,"4,334",-,-,-28.03722,148.57443
71,Balonne (S),30300,2019,-,-,0,-28.03722,148.57443
22,Barcaldine (R),30410,2014,"3,166",65.7,"2,050",-23.56667,145.28333
32,Barcaldine (R),30410,2015,"3,082",64.9,"1,952",-23.56667,145.28333
42,Barcaldine (R),30410,2016,"2,909",60.8,"1,859",-23.56667,145.28333
52,Barcaldine (R),30410,2017,"2,868",65.9,"2,010",-23.56667,145.28333
62,Barcaldine (R),30410,2018,"2,852",-,-,-23.56667,145.28333
72,Barcaldine (R),30410,2019,-,-,0,-23.56667,145.28333
23,Banana (S),30370,2014,"14,860",472.6,"10,923",-24.47148,150.12829
33,Banana (S),30370,2015,"14,707",473.7,"10,623",-24.47148,150.12829
43,Banana (S),30370,2016,"14,570",458.7,"9,741",-24.47148,150.12829
53,Banana (S),30370,2017,"14,485",439,"10,487",-24.47148,150.12829
63,Banana (S),30370,2018,"14,291",-,-,-24.47148,150.12829
73,Banana (S),30370,2019,-,-,0,-24.47148,150.12829
24,Barcoo (S),30450,2014,317,7.4,193,-25.28778,141.97166
34,Barcoo (S),30450,2015,296,7.4,176,-25.28778,141.97166
44,Barcoo (S),30450,2016,272,7.7,189,-25.28778,141.97166
54,Barcoo (S),30450,2017,267,9.3,223,-25.28778,141.97166
64,Barcoo (S),30450,2018,267,-,-,-25.28778,141.97166
74,Barcoo (S),30450,2019,-,-,0,-25.28778,141.97166
25,Blackall-Tambo (R),30760,2014,"2,152",39.8,"1,404",-24.65389,145.81361
35,Blackall-Tambo (R),30760,2015,"2,035",36.6,"1,268",-24.65389,145.81361
45,Blackall-Tambo (R),30760,2016,"1,925",34.7,"1,164",-24.65389,145.81361
55,Blackall-Tambo (R),30760,2017,"1,876",36.8,"1,302",-24.65389,145.81361
65,Blackall-Tambo (R),30760,2018,"1,863",-,-,-24.65389,145.81361
75,Blackall-Tambo (R),30760,2019,-,-,0,-24.65389,145.81361
26,Boulia (S),30900,2014,473,7.9,164,-22.91177,139.90607
36,Boulia (S),30900,2015,459,8.7,165,-22.91177,139.90607
46,Boulia (S),30900,2016,436,6.6,136,-22.91177,139.90607
56,Boulia (S),30900,2017,424,9,169,-22.91177,139.90607
